46.6,4,86,,82,2720,19.4,82,1,chevy s-10
44.6,4,91,,79,2625,18.6,82,1,ford ranger
44.3,4,90,,84,2295,11.6,82,1,dodge rampage
44,4,97,,52,2130,24.6,82,2,vw pickup
43.4,4,90,,86,2790,15.6,82,1,ford mustang gl
43.1,4,90,,90,2950,17.3,82,1,chevrolet camaro
41.5,4,98,,84,2370,13,82,1,dodge charger 2.2
40.9,4,85,,96,2665,13.9,82,3,toyota celica gt
40.8,4,85,,112,2835,14.7,82,1,ford granada l
39.4,4,85,,92,2585,14.5,82,1,chrysler lebaron medallion
39.1,4,79,,85,3015,17,82,1,oldsmobile cutlass ciera (diesel)
39,4,86,,110,2945,16.4,82,1,buick century limited
38.1,4,89,,67,1995,16.2,82,3,datsun 310 gx
38,4,105,,75,2205,14.5,82,3,honda accord
38,4,91,,70,2245,16.9,82,3,toyota corolla
38,4,91,,67,1965,15,82,3,honda civic
38,6,262,,67,1965,15.7,82,3,honda civic (auto)
37.7,4,89,,88,2160,14.5,82,3,nissan stanza xe
37.3,4,91,,70,2125,17.3,82,1,mercury lynx l
37.2,4,86,,63,2125,14.7,82,1,plymouth horizon miser
37,4,119,,74,1980,15.3,82,2,volkswagen rabbit l
37,4,85,,68,2025,18.2,82,3,mazda glc custom l
37,4,91,,68,1970,17.6,82,3,mazda glc custom
36.4,5,121,,,3035,20.5,82,1,amc concord dl
36.1,4,98,,90,2735,18,82,1,pontiac phoenix
36.1,4,91,,92,2865,16.4,82,1,ford fairmont futura
36,4,79,,85,3465,16.6,81,1,chrysler lebaron salon
36,4,105,,88,2605,19.6,82,1,chevrolet cavalier
36,4,98,,88,2640,18.6,82,1,chevrolet cavalier wagon
36,4,120,,88,2395,18,82,1,chevrolet cavalier 2-door
36,4,107,,85,2575,16.2,82,1,pontiac j2000 se hatchback
36,4,135,,84,2525,16,82,1,dodge aries se
35.7,4,98,,88,3060,17.1,81,1,ford granada gl
35.1,4,81,,105,3725,19,81,1,oldsmobile cutlass ls
35,4,72,,120,2930,13.8,81,3,datsun 810 maxima
35,4,122,,110,3415,15.8,81,1,buick century
34.7,4,105,,116,2900,12.6,81,3,toyota cressida
34.5,4,105,,80,3230,20.4,81,2,peugeot 505s turbo diesel
34.5,4,100,,76,3160,19.6,81,2,volvo diesel
34.4,4,98,,74,2635,18.3,81,3,mazda 626
34.3,4,97,,100,2615,14.8,81,3,datsun 200sx
34.2,4,105,,75,2350,16.8,81,3,toyota corolla
34.1,4,86,,,2320,15.8,81,2,renault 18i
34.1,4,91,,75,2210,14.4,81,3,honda prelude
34,4,112,,65,2380,20.7,81,1,ford escort 2h
34,4,108,,74,2190,14.2,81,2,volkswagen jetta
33.8,4,97,,65,2045,16.2,81,1,ford escort 4w
33.7,4,107,,63,2215,14.9,81,1,plymouth horizon 4
33.5,4,85,,65,1975,19.4,81,3,datsun 210 mpg
33.5,4,98,,62,2050,17.3,81,3,toyota tercel
33.5,4,151,,68,1985,16,81,3,mazda glc 4
33,4,91,,64,1875,16.4,81,1,plymouth champ
33,4,91,,60,1760,16.1,81,3,honda civic 1300
33,4,105,,67,2065,17.8,81,3,subaru
32.9,4,119,,58,1755,16.9,81,3,toyota starlet
32.8,4,78,,84,2385,12.9,81,1,plymouth reliant
32.7,6,168,,110,2725,12.6,81,1,chevrolet citation
32.4,4,107,,84,2635,16.4,81,1,buick skylark
32.4,4,108,,92,2620,14.4,81,1,dodge aries wagon (sw)
32.3,4,97,,84,2490,15.7,81,1,plymouth reliant
32.2,4,108,,72,2290,17,80,3,honda accord
32.1,4,98,,,2905,14.3,80,1,ford mustang cobra
32,4,71,,,1835,17.3,80,2,renault lecar deluxe
32,4,83,,67,2145,18,80,3,subaru dl
32,4,85,,62,1845,15.3,80,2,vokswagen rabbit
32,4,91,,132,2910,11.4,80,3,datsun 280-zx
32,4,144,,100,2420,12.5,80,3,mazda rx-7 gs
32,4,135,,88,2500,15.1,80,2,triumph tr7 coupe
31.9,4,89,,67,1850,13.8,80,3,honda civic 1500 gl
31.8,4,85,,67,3250,21.8,80,2,mercedes-benz 240d
31.6,4,120,,67,2950,19.9,80,2,audi 5000s (diesel)
31.5,4,98,,48,2085,21.7,80,2,vw rabbit c (diesel)
31.5,4,89,,48,2335,23.7,80,2,vw dasher (diesel)
31.3,4,120,,65,2110,19.2,80,3,datsun 210
31,4,71,,78,2188,15.8,80,2,audi 4000
31,4,79,,90,2711,15.5,80,3,toyota corona liftback
31,4,76,,75,2542,17.5,80,3,mazda 626
31,4,79,,92,2434,15,80,3,datsun 510 hatchback
31,4,112,,75,2265,15.2,80,3,toyota corolla
31,4,91,,65,2110,17.9,80,3,mazda glc
31,4,119,,105,2800,14.4,80,1,dodge colt
30.9,4,105,,90,3381,18.7,80,1,dodge aspen
30.7,6,145,,90,3003,20.1,80,1,amc concord
30.5,4,98,,90,2678,16.5,80,1,chevrolet citation
30.5,4,97,,88,2870,18.1,80,1,ford fairmont
30,4,79,,115,2595,11.3,79,1,chevrolet citation
30,4,88,,115,2700,12.9,79,1,oldsmobile omega brougham
30,4,111,,90,2556,13.2,79,1,pontiac phoenix
30,4,97,,76,2144,14.7,80,2,vw rabbit
30,4,98,,60,1968,18.8,80,3,toyota corolla tercel
30,4,146,,70,2120,15.5,80,1,chevrolet chevette
30,4,135,,65,2019,16.4,80,3,datsun 310
29.9,4,98,,90,2670,16,79,1,buick skylark limited
29.8,4,134,,65,2020,19.2,79,3,datsun 210
29.8,4,89,,69,2130,14.7,79,2,fiat strada custom
29.5,4,97,,70,2200,13.2,79,1,plymouth horizon
29.5,4,98,,70,2150,14.9,79,1,plymouth horizon tc3
29,4,68,,71,1925,14,79,2,vw rabbit custom
29,4,98,,65,1975,15.2,79,3,maxda glc deluxe
29,4,97,,80,1915,14.4,79,1,dodge colt hatchback custom
29,4,90,,80,2670,15,79,1,amc spirit dl
29,4,85,,77,3530,20.1,79,2,mercedes benz 300d
29,4,90,,125,3900,17.4,79,1,cadillac eldorado
29,4,97,,71,3190,24.8,79,2,peugeot 504
29,4,135,,90,3420,22.2,79,1,oldsmobile cutlass salon brougham
28.8,6,173,,150,3940,13,79,1,chrysler lebaron town @ country (sw)
28.4,4,151,,125,3605,15,79,1,chevrolet malibu classic (sw)
28.1,4,141,,142,4054,14.3,79,1,ford country squire (sw)
28,4,140,,115,3245,15.4,79,1,pontiac lemans v6
28,4,116,,85,2990,18.2,79,1,mercury zephyr 6
28,4,97,,88,2890,17.3,79,1,ford fairmont 4
28,4,98,,90,3265,18.2,79,1,amc concord dl 6
28,4,90,,110,3360,16.6,79,1,dodge aspen 6
28,4,107,,130,3840,15.4,79,1,chevrolet caprice classic
28,4,97,,129,3725,13.4,79,1,ford ltd landau
28,4,151,,138,3955,13.2,79,1,mercury grand marquis
28,4,112,,135,3830,15.2,79,1,dodge st. regis
28,4,120,,155,4360,14.9,79,1,buick estate wagon (sw)
27.9,4,156,,68,2135,16.6,78,3,honda accord lx
27.5,4,134,,71,1990,14.9,78,2,volkswagen scirocco
27.4,4,121,,133,3410,15.8,78,2,peugeot 604sl
27.2,4,119,,103,2830,15.9,78,2,audi 5000
27.2,4,141,,125,3140,13.6,78,2,volvo 264gl
27.2,4,135,,115,2795,15.7,78,2,saab 99gle
27,4,97,,140,4080,13.7,78,1,dodge magnum xe
27,4,97,,68,2155,16.5,78,1,chevrolet chevette
27,4,97,,95,2560,14.2,78,3,toyota corona
27,4,97,,97,2300,14.7,78,3,datsun 510
27,4,101,,75,2230,14.5,78,1,dodge omni
27,4,112,,95,2515,14.8,78,3,toyota celica gt liftback
27,4,151,,105,2745,16.7,78,1,plymouth sapporo
27,4,151,,85,2855,17.6,78,1,oldsmobile starfire sx
27,4,140,,97,2405,14.9,78,3,datsun 200-sx
26.8,6,173,,139,3205,11.2,78,1,ford futura
26.6,4,151,,145,3425,13.2,78,1,chevrolet monte carlo landau
26.6,8,350,,165,3445,13.4,78,1,buick regal sport coupe (turbo)
26.5,4,140,,120,3410,15.1,78,1,amc concord d/l
26.4,4,140,,110,3620,18.7,78,1,dodge aspen
26,4,97,,52,1985,19.4,78,3,mazda glc deluxe
26,4,121,,70,2070,18.6,78,3,datsun b210 gx
26,4,91,,60,1800,16.4,78,3,honda civic cvcc
26,4,96,,110,3365,15.5,78,1,oldsmobile cutlass salon brougham
26,4,97,,140,3735,13.2,78,1,dodge diplomat
26,4,98,,139,3570,12.8,78,1,mercury monarch ghia
26,4,122,,105,3535,19.2,78,1,pontiac phoenix lj
26,4,79,,95,3155,18.2,78,1,chevrolet malibu
26,4,97,,85,2965,15.8,78,1,ford fairmont (auto)
26,4,116,,88,2720,15.4,78,1,ford fairmont (man)
26,4,108,,100,3430,17.2,78,1,plymouth volare
26,4,98,,90,3210,17.2,78,1,amc concord
26,4,97,,105,3380,15.8,78,1,buick century special
26,4,156,,85,3070,16.7,78,1,mercury zephyr
25.8,4,156,,66,1800,14.4,78,1,ford fiesta
25.5,4,122,,110,2720,13.5,77,3,mazda rx-4
25.5,4,140,,48,1985,21.5,78,2,volkswagen rabbit custom diesel
25.4,5,183,,97,2815,14.5,77,3,datsun 810
25.4,6,168,,110,2600,12.8,77,2,bmw 320i
25.1,4,140,,78,2190,14.1,77,2,volkswagen dasher
25,4,110,,180,4220,11.1,77,1,pontiac grand prix lj
25,4,104,,170,4165,11.4,77,1,chevrolet monte carlo landau
25,4,113,,190,4325,12.2,77,1,chrysler cordoba
25,4,98,,149,4335,14.5,77,1,ford thunderbird
25,4,97.5,,78,1940,14.5,77,2,volkswagen rabbit custom
25,4,140,,88,2740,16,77,1,pontiac sunbird coupe
25,4,90,,75,2265,18.2,77,3,toyota corolla liftback
25,4,121,,89,2755,15.8,77,1,ford mustang ii 2+2
25,4,116,,63,2051,17,77,1,chevrolet chevette
25,4,140,,83,2075,15.9,77,1,dodge colt m/m
25,6,181,,67,1985,16.4,77,3,subaru dl
24.5,4,98,,100,3630,17.7,77,1,plymouth volare custom
24.5,4,151,,98,3525,19,77,1,ford granada
24.3,4,151,,105,3425,16.9,77,1,buick skylark
24.2,6,146,,110,3520,16.4,77,1,chevrolet concours
24,4,113,,130,3870,15,76,1,ford f108
24,4,107,,150,3755,14,76,1,dodge d100
24,4,113,,68,2045,18.5,77,3,honda accord cvcc
24,4,116,,80,2155,14.8,77,1,buick opel isuzu deluxe
24,4,121,,58,1825,18.6,77,2,renault 5 gtl
24,4,90,,96,2300,15.5,77,1,plymouth arrow gs
24,4,120,,70,1945,16.8,77,3,datsun f-10 hatchback
24,4,134,,145,3880,12.5,77,1,chevrolet caprice classic
24,4,119,,110,4060,19,77,1,oldsmobile cutlass supreme
24,6,200,,145,4140,13.7,77,1,dodge monaco brougham
24,4,140,,130,4295,14.9,77,1,mercury cougar brougham
23.9,4,119,,180,4380,12.1,76,1,cadillac seville
23.9,8,260,,145,4055,12,76,1,chevy c10
23.8,4,151,,120,3820,16.7,76,2,mercedes-benz 280s
23.7,3,70,,108,2930,15.5,76,3,toyota mark ii
23.6,4,140,,88,3270,21.9,76,2,peugeot 504
23.5,6,173,,150,3940,13.2,76,1,plymouth volare premier v8
23.2,4,156,,102,3150,15.7,76,2,volvo 245
23,4,122,,70,1937,14.2,76,2,vw rabbit
23,4,97,,53,1795,17.4,76,3,honda civic
